fips_place_code,name,name_ascii,state_code,state_name,type,incorporated,county_fips,county_name
0100100,Abanda,Abanda,AL,Alabama,cdp,FALSE,01017,Chambers
0100124,Abbeville,Abbeville,AL,Alabama,city,TRUE,01067,Henry
0100460,Adamsville,Adamsville,AL,Alabama,city,TRUE,01073,Jefferson
0100484,Addison,Addison,AL,Alabama,town,TRUE,01133,Winston
0100676,Akron,Akron,AL,Alabama,town,TRUE,01065,Hale
0100820,Alabaster,Alabaster,AL,Alabama,city,TRUE,01117,Shelby
0100988,Albertville,Albertville,AL,Alabama,city,TRUE,01095,Marshall
0101132,Alexander City,Alexander City,AL,Alabama,city,TRUE,01123,Tallapoosa
0101180,Alexandria,Alexandria,AL,Alabama,cdp,FALSE,01015,Calhoun
0101228,Aliceville,Aliceville,AL,Alabama,city,TRUE,01107,Pickens
0101396,Allgood,Allgood,AL,Alabama,town,TRUE,01009,Blount
0101660,Altoona,Altoona,AL,Alabama,town,TRUE,01055,Etowah
0101708,Andalusia,Andalusia,AL,Alabama,city,TRUE,01039,Covington
0101756,Anderson,Anderson,AL,Alabama,town,TRUE,01077,Lauderdale
0101852,Anniston,Anniston,AL,Alabama,city,TRUE,01015,Calhoun
0102116,Arab,Arab,AL,Alabama,city,TRUE,01095,Marshall
0102260,Ardmore,Ardmore,AL,Alabama,town,TRUE,01083,Limestone
0102320,Argo,Argo,AL,Alabama,city,TRUE,01115,St. Clair
0102428,Ariton,Ariton,AL,Alabama,town,TRUE,01045,Dale
0102500,Arley,Arley,AL,Alabama,town,TRUE,01133,Winston
0102836,Ashford,Ashford,AL,Alabama,city,TRUE,01069,Houston
0102860,Ashland,Ashland,AL,Alabama,town,TRUE,01027,Clay
0102908,Ashville,Ashville,AL,Alabama,city,TRUE,01115,St. Clair
0102956,Athens,Athens,AL,Alabama,city,TRUE,01083,Limestone
0103004,Atmore,Atmore,AL,Alabama,city,TRUE,01053,Escambia
0103028,Attalla,Attalla,AL,Alabama,city,TRUE,01055,Etowah
0103076,Auburn,Auburn,AL,Alabama,city,TRUE,01081,Lee
0103220,Autaugaville,Autaugaville,AL,Alabama,town,TRUE,01001,Autauga
0103364,Avon,Avon,AL,Alabama,town,TRUE,01069,Houston
0103508,Axis,Axis,AL,Alabama,cdp,FALSE,01097,Mobile
0103556,Babbie,Babbie,AL,Alabama,town,TRUE,01039,Covington
0103676,Baileyton,Baileyton,AL,Alabama,town,TRUE,01043,Cullman
0103724,Bakerhill,Bakerhill,AL,Alabama,town,TRUE,01005,Barbour
0103820,Ballplay,Ballplay,AL,Alabama,cdp,FALSE,01055,Etowah
0103940,Banks,Banks,AL,Alabama,town,TRUE,01109,Pike
0104660,Bay Minette,Bay Minette,AL,Alabama,city,TRUE,01003,Baldwin
0104684,Bayou La Batre,Bayou La Batre,AL,Alabama,city,TRUE,01097,Mobile
0104852,Bear Creek,Bear Creek,AL,Alabama,town,TRUE,01093,Marion
0104900,Beatrice,Beatrice,AL,Alabama,town,TRUE,01099,Monroe
0104948,Beaverton,Beaverton,AL,Alabama,town,TRUE,01075,Lamar
0105140,Belgreen,Belgreen,AL,Alabama,cdp,FALSE,01059,Franklin
0105164,Belk,Belk,AL,Alabama,town,TRUE,01057,Fayette
0105188,Bellamy,Bellamy,AL,Alabama,cdp,FALSE,01119,Sumter
0105212,Belle Fontaine,Belle Fontaine,AL,Alabama,cdp,FALSE,01097,Mobile
0105692,Benton,Benton,AL,Alabama,town,TRUE,01085,Lowndes
0105812,Berlin,Berlin,AL,Alabama,town,TRUE,01043,Cullman
0105932,Berry,Berry,AL,Alabama,town,TRUE,01057,Fayette
0105980,Bessemer,Bessemer,AL,Alabama,city,TRUE,01073,Jefferson
0106460,Billingsley,Billingsley,AL,Alabama,town,TRUE,01001,Autauga
0107000,Birmingham,Birmingham,AL,Alabama,city,TRUE,01073,Jefferson
0107120,Black,Black,AL,Alabama,town,TRUE,01061,Geneva
0107456,Blountsville,Blountsville,AL,Alabama,town,TRUE,01009,Blount
0107588,Blue Ridge,Blue Ridge,AL,Alabama,cdp,FALSE,01051,Elmore
0107672,Blue Springs,Blue Springs,AL,Alabama,town,TRUE,01005,Barbour
0107912,Boaz,Boaz,AL,Alabama,city,TRUE,01095,Marshall
0108104,Boligee,Boligee,AL,Alabama,town,TRUE,01063,Greene
